cfg,label,reason,traceback
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BEKASI\2025\Agustus 2025\20082025 Reclose New Tambun - Cibinong 2_PETIR\Main B bay Cibinong 2\Main B bay Cibinong 2\COMTRADE_20250820_091404.CFG,PETIR,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),"record.time[-1] - record.time[0]) * 1000.0) if getattr(record, ""time"", None) else None
                                                                               ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^
ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BEKASI\2025\Agustus 2025\20082025 Reclose New Tambun - Cibinong 2_PETIR\RECLOSE BAY CIBINONG 2 GISTET NEW TAMBUN MAIN A\MAIN A\50_20820258038578_FRA00050.CFG,PETIR,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),"record.time[-1] - record.time[0]) * 1000.0) if getattr(record, ""time"", None) else None
                                                                               ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^
ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BEKASI\2025\Januari 2025\24012025_GISTET New Tambun_bay Muaratawar_PETIR\24012025 - DFR Rele LCD bay Muaratawar GISTET NWTBN\MAIN B\disturbance record main B COMTRADE_20250124_091251.CFG,PETIR,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),"record.time[-1] - record.time[0]) * 1000.0) if getattr(record, ""time"", None) else None
                                                                               ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^
ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BEKASI\2025\Januari 2025\24012025_GITET Muaratawar_bay Tambun_PETIR\24012025 - DFR Rele LCD bay New Tambun GITET MRTWR\Main B\COMTRADE_20250124_091458.CFG,PETIR,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),"record.time[-1] - record.time[0]) * 1000.0) if getattr(record, ""time"", None) else None
                                                                               ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^
ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2022\02. februari\01022022 - Bunar rangkas PETIR\rangkas2.01feb22_agsys\rangkas2.01feb22_agsys\P442\1\DR\Tuesday 01 February 2022 14.20.42.000.CFG,PETIR,no fault detected,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2022\02. februari\17022022 - Sentul cibinong#1 PETIR\cibinong 1\cibinong 1\220217,082149200,+7h0,GI 150KV SENTUL,CIBINONG 1-2,Qualitrol LLC.cfg",PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2022\02. februari\19022022 - kracak-kedungbadak#1 BINATANG\Gangguan Kd. Badak 1 tgl 190222\Gangguan Kd. Badak 1\DR\Friday 26 April 2019 16.10.08.000.CFG,HEWAN,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2022\02. februari\19022022 - kracak-kedungbadak#1 BINATANG\Gangguan Kd. Badak 1 tgl 190222\Gangguan Kd. Badak 1\DR\Monday 27 February 2017 14.28.57.000.CFG,HEWAN,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2022\02. februari\19022022 - kracak-kedungbadak#1 BINATANG\Gangguan Kd. Badak 1 tgl 190222\Gangguan Kd. Badak 1\DR\Thursday 28 March 2019 13.05.27.000.CFG,HEWAN,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2022\02. februari\19022022 - kracak-kedungbadak#1 BINATANG\Gangguan Kd. Badak 1 tgl 190222\Gangguan Kd. Badak 1\DR\Tuesday 19 October 2021 09.59.57.000.CFG,HEWAN,protection=UNKNOWN,
